accountId,rewards
st9wSyY8mWAwhBDnKxjww6onxSHGEf4uAKGWdmGR2fcL87bTY,92862.2
st9idRv3z62dVwfmjLaNiq1FVb2B2j3giib7ns4Vni1wZ9ePj,63245.3
stBnSgqyW1m4BdTPFtRyfs9vfKkoYwPh53WZB3x9euaoAToJ5,61684.3
stBC48oPuxseg8ojtp7nmQk1Qh7AzodqPqts6zB6N1aoYCjDm,39106.9
st8JdT6wcrEYunUF2U3x15dwaPU2hoUgz5Kau4uwAumXC5Fdf,22456.9
stAhVnQZVAietQ8vUfGxA5CWSjL1Rs6niWTaNSPPthjL4xPZn,19001.4
st6opkLhkPwmHBTHznwhUCVKvmLGaM7TsTTHQCRLmBzQ1icYQ,17849.2
st8JDtAvFYZTCwrjvWuS3FnPnYzjFQrbHYgN3AyNZ8BWEu9wD,16813.9
stBWcgECxEFvcJ1B1FYd3RoeL6gy743bqDayhvsXmg8vU7Vek,16782.4
stAbwPxeQEPhSZ6RgBgwLDoVHKuBTvmgozSn2beXYaK9VhTCK,16722.8
st8dompMTCzWpH7nvkUePW1anGiZcUPrK8cMkoCpt2iy3SKXp,14941.8
stAc2D2ke61giDx3AGkaAVHpoEqDbYb5euWbsbpyidPqNNut5,14400
st6v1CZM3oy4w8u7PaihdodYbf6njUX8njydC7U51HugmhoXy,14152
st9LZ1KTeTtVoPanNjVmUeE6HQh5SXbGCukG4tqBD9cUziZN3,13995.3
st6Gg6zzKdWBuqcLuQgVoftyoQrrGSQp1dN31PKfYoxZxJbzh,13519.8
st6MXYySJ3ikqA77pWhczKuKYa5bMir1Lqh9Nv4wH4wsEsSzX,11902.3
st86H6ejyXi5Yx7u9EV83dyTRryjRpVrewdxS9EaH6gxhxi3Y,11543.8
st9rZxEw7NgYEAs8petCRpwWUYRTdqbCrmy6zpmXz4PQ9iajg,10782.5
st8PuowzujsPTiH6jMN3Qphzkw5QGBC7UzYAyMfdzhAUE34KF,10571.2
st6gKojGR8mpJe6a4JCScW6w3tKL9CrDUgW1FLe6nUFv9yGR2,10192.1
stBnufGwhTp2DswFKqwZpKFJGoCDg9vRx1t6nsTeuWRboG9kj,10057
st7ioSJe5pKHVUgUtvCvcDtsvbZaCZccTFeiUn7Uj5KC6F1wX,9940.6
stAsseJ6zhs3yxVsv3ptYWjHwk9Rcp3pyGVsjr5BKLoEUGHik,9803.2
stB7ZgtAwwbYKMtTLr2eoj5SdvecCEwrWPU6GADfoLtoBEbkX,9090
st7rWwzN45LiA2Z5pAQfRBYuQkpCAVyqqx5kqZnd2K9eorj9J,8975.7
st8ivLcqPSAwBZQsBUSZyCCr2n5JdUyPtsuBbKU9VsBJNyynf,8867
st6bNAFqdf3TX9uuSEH3UWDv8iLCVmeYFbXMDDDhCykrt9Vxt,8404.5
st9f9F98954c52C8QjctFeZXaSY7rDXKgm72K7bg4mGNikyiu,8242.5
st7p3jpUXKoYuUxgopYEzR5WEsHtewo1GjWc5ALbjeyeuoD4x,8154.3
st9cX5HgSvHJDrZtfDs3WiXRBinThoPtY5AfMBdG9Fih6vNK4,7909.9
st9fGXh9MvbYRx61ZznTv9AdAM3rW4iWeEVNpR4XF2PYCqTqK,7287.1
stA7UnAHDLyWvuXPLczupoFMPUNNWV7cqNHyrtyLDn6oqcYaa,6841.2
st9cu8LEg9ykH7aNcTAzVHVhXFZrRW4CYgdb6iB2wuhTKB6Zt,6622.5
stAZS7erDUgunQne5etuGKJVnoqEBCMh3faDuXqxgtPeY7Sq9,6298.4
stAqoXNpvuTThY8axrTHnRC9TkqcjHHs1s4xdnzQLiV2T4Tfy,6192.2
st989XZMK4KJcfwAo5HuqmGUXGuFL4bcd7j2UdnbrthK64Hwd,5893.9
st9uGb6eCvbBKptESWUviASxc9b8SY9FpfTDVHv6RFiQfMgBd,5767.9
st7VaKu2j6cQqdRPFwTkehwTNPHAxbcQc9T5ubv92Ht8Scoew,5687.1
st6eRF6BneFPyintF8CD1GYWkMjKqmxSsKAtq3qnkVYFbBM4J,5552.6
stACbNBxAz39VbomFKMPLhALVn3fhbgmUjUXnfdtLBaUBdgWY,5471.1
st8yf261DvEK6iZGEgZyZ1BUoobkXLiEcd7yV3TsZ2iL1e2Do,5092.2
stBbinUkD1ACYvmyUEwRaborTGPNbUEvw7yuEKPmmHVJw3vFn,4985.2
stBpn7tijNCC2Hpkz2L7hDb3xHz1aivAqN5P9qcMHnpvtb5LT,4977.3
st8hziPa5Wom9ejeZwkxxENGYovGXBxNReC7MS5o2mZchx2JD,4748.6
stAWnNUo5ohfT2VXaG7StSgmWyHLiiMkdrTzVqSW1gbYZ8bWU,4530.2
st8UrZQY8ovXiSCDDT4UuomJC18xuKo7Xch3gGrA5Wp3a6SNU,4526.6
st9tpaJGyzqqnpXjK1TSv2e6HxepVvZCUyzxNcM9gUevfuPqw,4412
st7R436U7HAavys3pm9LhyGD8qYThbEgJDbfJvwnoeBGZnyMe,4376.2
st7WAnYnYV29BneipgddKCgZJHNKeJSdK7kNCDrjfcXWazUPG,4363
stBnV4SUhU95vroj5iKu9vaVLzTDYik98SJ7Eofrbt89vHHfF,4126.1
stA4hC5jKzJySWr9Soe4Kr6C4jz9LsbbTToKt37YwLstxTPjG,3978
stA7rnd9MyUdaHLRe3DvVADx2P9AsSLo7oP2F1se5SoN24pJ6,3844.3
stA9yzsaiyDv6XR8xEJR6v4z2tVREeeQsLafeb14HhXG6NRBF,3787.1
stA7GgUYDwksmSCGNhCNcaKFCzAywryUjgDMpCQYbG16wL5Kr,3748.1
stBCTNw9Rxin4YHz5q3VcnzhjYhSFjmcHDu8Ks5L3dXiNdxaa,3521.8
st8Am9uhjCZYNykkdYo3Xmj1iW2NrG8v1JdZCxEMbxrn2jQdC,3422.1
st9rR34fywkS7VfoHoHsyW3xyrZ39XzjEJtzV4eZGPGsMWsrg,3394
st7GdtujCUHm5Am1P2N5t2XxzQjQSfPCnAekf9rZVeeqWawCi,3348.7
st9Juo4rMjGWNJ2H2MQqwHkqwe5wZv7FsTKeDhHdPwJPEdu1U,3343.4
stA1wobgG3CNRHeCGTfM7SvnMFL1XjLrA2w2YKQFtuGwRGvHy,3303.3
st8BMmkg4KeuCpj7kvKJJyj7rEFLgr9UeC9tXEy9CMRm8Pt8o,3276.1
st9VPsWXo8wgPpgRpJw7DejAcyvTPhhwF5BEeJ9kSKv7e3JZL,3269.9
stAFwRrVK1kBbM13zzZvtBFXdBX6AZPzP32vjcdwbmawmbFKt,3231.3
st9CecCLfRoecqpTg2GP8BAMiYbnrLkaUaAd27cKk1MuyWwtK,3177
st7BTycLhuFvoyoQ7gTeHs8QoNJSeWAVAZNVRqrd6rzPXbAAn,3117.6
st6eQ4CrUvCL1CEEL68UUDvFGFaajJgi7Kh4qZBnkhzw7Y9SE,3103.5
st8g1rZnjpNB5W1Ls7ZHHfjN5t1spNpMSgNyfSWPJiHbLM1CT,3058.2
st7VaYSheqr5vQ4RAfpLeXmMuTN1tEgKYmwnBQkQkeZFf8P6k,3041.6
st8AjDz3uSnj8afhfjDM33p19MpYrU49bHjtEDXin5A8puEnN,3029
st9XRuTaJ5p9CdcGcAHG4tdQVbcjS7rCWnoFwpXZs9dd1vJ1M,2943.7
stA7ukhY94czdCKwTd2vgiz1vWLeoHdiZycZn6SWHW3TnUeb9,2937.6
stBAGdamJ3Er124k7pBcBEyyRaJbYPkCgj64A39nGhSsgtw4i,2808.4
st8FnXPoSSVwthobHmvos2cbtp5JaR1cDFqqVPv4PRg6mJcqW,2804.5
stA4u25WorzHL5kQXZarpz8dBrdAEADLQGxUypUhvLasse3VH,2743.7
st8XQRjsok3BCFQLyD4MXwMDWsUi3L5NUrfKqzap5e2tmAMgc,2697.2
st9iG3NrtEfmhtHkcQJAi5LvJPi86zbgqnKTNvmzmznQY2V8w,2660.8
st88s2RxbHjfSrM9Ur932NWBNz3AJ2CyNsxCGNAmsGN1tHwVW,2502.1
stBJNb9n4bJJk29VmDiFXB9F8pCmnmxfrBwWJo8SGf58GQjHR,2457.8
st8PTsmDNgn1jAk26Nd4YozoThjCPQHDhEq1BMQPaYzTZDRLU,2454.3
st8KPDWEPEmuqSLrDzCpKr7U2DtE1aJCi1ynnHcaaeSi9rj3s,2428
stBaCBPQc51CeGtehH6hZ13uXDeRgJ4bwAnJRH9GwxyAeuyfg,2348.3
st6YGPAwmwhFNuXucrwEewF17m1bPTPhXQWdj4hFi9rJnVgHz,2317.8
st9LuQbDxDdddREEx1dcuveF4auPjy9GFcEcuWXxCynfubRxS,2311.4
stBLRYU1NGbhSAwMZgkpruUzX6JjSuv14P66EcSh63KvBQ2US,2277.7
st8TGm6LyLqaeVMc8frSt8VVedCDeP7ygaZf3npPyhJPAENki,2261.2
st7GQPbAUfk4kj3MzxbAWpQWJmJAKHjFFNztjQKf3BLaWa3Zi,2222.5
st8cqzG7xu54SG65p9bvRb7Dv54H1XXjvEEC9vU2pVvvCnyoa,2148
st6N6QMzrYdW7iVdoY3F1vZGwnQcEpT8HKXwBoTzGC2UayFC2,2142.4
st8TM9MNZtubyG8MyEdUrjD27zau14xCd5UXsJs3c9SpYumbi,2107.2
stA81Mnz7zgFK79j9FUoP7CQGSwNYnYyqBL215Li1TbAx3kci,2086.6
st6gzmTVLW5SQdF81Vcw8m7me8338Ru6JZ5okwH8VW1KFUGef,2055.6
st7Sg2ixAi1gqaRqmmdYWZSvikuELJRfT7mzn2knBdZXTeuyy,2036.3
st8rmwbUJpkjJx1NGgtvZUAhfZoCXT1nWDs6bJE8WKaiQrtGC,2028.7
st7duyUgn1YZPnm2KEcLi7967ayLkGSAoZV3pMAFLtRftLeiz,2018.4
st73Lw6xLkMWwvJ5twUrpM3Ukkq1eSzpkCbqApB7KCxDCMEBP,2015.5
st6YH9juN7eiRu46gyTpbXQoGGakPYBVcHezP6eUd4DifJXP5,1981.4
st7zYCW5rPRRuuhFSJQVrtDseTFg9EccV8TkCsPT3DPbMrd6U,1977.5
st9PB769iY44Jno7So5NU1wSfE6MMSv3xULnu1Nn2NWAG1Cm3,1955.5
stAqCMe2Zy2F4AfNmK1pZd2gJ5pgrvhviEAawvKYNvDczN1y4,1949.4
st9fmmTw9Q77zGHxxZVS4xPhRSw6BQVd5T5cT94f6jCy1oB8b,1850.2
st9oquWbD1iEYRfWEF9NPQjQkUohfgKE1JNrFKh7Hc8Tb6AaS,1844.5
stAiHqfvwcBi6Ziag3kcLqmorvppZJXYuFEgmSPfajxAxgeZn,1815.1
stAM9kfp9gH3xDZnRQGwBHqU5pL6SZWqZ2VZr49kCRqPU4kro,1801.6
stBA1WThwWECoMrStAiE2avh1ZkrsZac8wf8FNJwq2gjSit7q,1781.1
st9rZFJPcQiARhcieTjzmjcYnnsDpEdwBhVYyoQrJFiUxWe31,1773.2
st7VyzyffYxQQ6kDsFg3YXwsSL4hSQwAC6NAdseRVSM6XxbFr,1771.6
st95WidWRuioF7hTvstiQJiK24gjwxiFeaRqbMx2to5meM8NQ,1735.5
st7jNvShYSj18L2Av8gJc3J5Y8XunZYbnVNTU7khZSso59UKT,1734.1
st9UtBgw2wYobL1WvLpnje4oPpoRwCFWK5XRLwFjxDY8iq5R7,1726
st8wyHeLFu4ujNUwifAwTXrEgndFJf7JcUuFWVo48LQEFh2MC,1724.4
st6dd7VxFUoPaC2kJb9MTtEUsJkzvMYPLBHpMBPLhX38MuF1v,1707.8
st8ogSYQpzwJzKYuV9Kvwy4WQPyg1gZy7ekix16Z6q54wDSjY,1661.4
st7VMqPUehk8a745Rxzv7bHc56368LBPeZSvEkXcznxwsysjS,1659.6
